id,employer,careers_url,ats_type,disciplines
ceres-power,Ceres Power,https://www.cerespower.com/careers,Custom,Chemical Engineering; Mechanical Engineering; Electrical & Electronics
itm-power,ITM Power,https://www.itm-power.com/careers,Custom,Chemical Engineering; Mechanical Engineering; Renewable Energy
electrochaea,Electrochaea UK,https://www.electrochaea.com/company/careers,Custom,Chemical Engineering; Renewable Energy
inmarsat,Inmarsat,https://inmarsat.wd3.myworkdayjobs.com/inmarsat/jobs,Workday,Electrical & Electronics; Systems Engineering; Software Engineering
airspan,Airspan Networks,https://www.airspan.com/careers,Custom,Electrical & Electronics; Software Engineering
spirax-sarco,Spirax-Sarco,https://www.spiraxsarco.com/global/en/careers,Custom,Mechanical Engineering; Chemical Engineering
roper-tech-uk,Roper Technologies UK,https://www.ropertech.com/careers,Custom,Electrical & Electronics; Software Engineering
ametek-uk,AMETEK UK,https://www.ametek.com/careers,Custom,Electrical & Electronics; Mechanical Engineering
danaher-uk,Danaher UK,https://danaher.wd1.myworkdayjobs.com/danaher/jobs,Workday,Biomedical Engineering; Chemical Engineering; Electrical & Electronics
thermofisher-uk,Thermo Fisher Scientific,https://thermofisher.wd5.myworkdayjobs.com/thermofisher/jobs,Workday,Biomedical Engineering; Chemical Engineering; Mechanical Engineering
waters-corp,Waters Corporation,https://waters.wd1.myworkdayjobs.com/waters/jobs,Workday,Chemical Engineering; Biomedical Engineering
bruker-uk,Bruker UK,https://www.bruker.com/en/about/careers.html,Custom,Biomedical Engineering; Chemical Engineering; Electrical & Electronics
malvern-panalytical,Malvern Panalytical,https://www.malvernpanalytical.com/en/about-us/careers,Custom,Chemical Engineering; Biomedical Engineering; Mechanical Engineering
oxford-instruments,Oxford Instruments,https://www.oxinst.com/careers,Custom,Electrical & Electronics; Mechanical Engineering; Systems Engineering
micron-uk,Micron Technology UK,https://micron.wd1.myworkdayjobs.com/micron/jobs,Workday,Electrical & Electronics; Chemical Engineering
infineon-uk,Infineon UK,https://infineon.wd3.myworkdayjobs.com/infineon/jobs,SAP,Electrical & Electronics; Systems Engineering
analog-devices,Analog Devices,https://analogdevices.wd1.myworkdayjobs.com/analogdevices/jobs,Workday,Electrical & Electronics; Systems Engineering
texas-instruments-uk,Texas Instruments UK,https://careers.ti.com/jobs,Workday,Electrical & Electronics; Software Engineering
nxp-uk,NXP Semiconductors UK,https://nxp.wd3.myworkdayjobs.com/nxp/jobs,Workday,Electrical & Electronics; Software Engineering
dialog-semiconductor,Dialog Semiconductor (Renesas),https://careers.renesas.com,Custom,Electrical & Electronics; Software Engineering
graphcore,Graphcore,https://www.graphcore.ai/careers,Custom,Electrical & Electronics; Software Engineering
imagination-tech,Imagination Technologies,https://careers.imgtec.com,Custom,Electrical & Electronics; Software Engineering
icera-uk,Arm Research UK,https://careers.arm.com,Workday,Electrical & Electronics; Software Engineering
sifive-uk,SiFive UK,https://boards.greenhouse.io/sifive,Greenhouse,Electrical & Electronics; Software Engineering
